question_id,member_id,question,其它,完成式,連接詞,假設語氣,分詞,PT,進行式,過去式,未來式,關係代名詞,不定詞,名詞子句,被動,介係詞
24626,78952,make a popping sound. 請問~pop是動詞和名詞對嗎?但在這是用來形容sound這個聲音名詞，所以popping變成形容詞是嗎?這是一種文法嗎,2.87035436379e-05,0.00379720286148,0.0246356018954,0.000973906334984,0.0716087877292,0.760020416416,0.00462222988217,0.0156204796979,0.000513277965626,0.0295149734234,0.00411480449642,0.00444522179618,0.00677377993738,0.0733306140206
19632,78952,judged為什麼是被評論而不是自己評論,6.76168201209e-05,0.00797233534486,0.0156315052774,0.00187513258087,0.0254671269931,0.863961526756,0.00598375483883,0.0128252076587,0.00116533926452,0.0150227627234,0.00310321379512,0.00285768486041,0.0167571933408,0.0273095997459
50385,84855,這句為何不是How does rabies spread?  或How is rabies spreading?,7.37462522585e-05,0.010115243914,0.0990273056026,0.00440369309892,0.0261953088375,0.611493884326,0.0131163156923,0.0281795927262,0.00160814852421,0.0372796370968,0.00537741175679,0.0108498559206,0.013479643765,0.138800212487
78148,84925,"1.It is native to Asia. 2.It has been grown and consumed for thousands of years. 3.Native to Asia, it has been grown and consumed for thousands of years. 一和二變成三時,Native是Vpp是因為他在第二句為被動嗎? 如果是Ving那也是直接省略主詞和動詞只留Ving嗎? ",6.9015862173e-06,0.011421982793,0.0235852102651,0.000450632440809,0.02587217609,0.644153410455,0.00290524213101,0.0083800293456,0.000220389888838,0.0154797021029,0.00126510132959,0.00116862985768,0.00666616009059,0.258424431624
36265,91101,Everything we say can be drummed out. 這句話的文法使用?,2.46106597756e-06,0.000934417384705,0.0130808451451,0.0001619132988,0.00590423826953,0.890399673543,0.00183765879641,0.00471196735158,7.30139383382e-05,0.0281463626497,0.00036184456301,0.000532445214932,0.00689448937586,0.0469586694033
36051,91101,by the way用法?,3.25339050602e-06,0.0012251016571,0.0131685197603,0.000189619624684,0.0115772854548,0.769321409081,0.0011489867451,0.00533225545048,7.70611989154e-05,0.0119498730727,0.000629089772511,0.000354341404887,0.034925003976,0.150098199411
16801,55464,老師，請教一下，left在這裡若是「剩下」的意思，那它的原形應是leave，但在這裡前面有be動詞，而主詞又是you，you are left with breast這個文法看不太懂。字面意似指：你和雞胸一起被剩下來？,1.03006061405e-05,0.00440128640834,0.0246069375519,0.000494704880765,0.0493654417272,0.699008002664,0.00517923805869,0.0239360402889,0.000306284199682,0.0245038997547,0.00166681778675,0.00131293114602,0.0416505091,0.123557605827
48831,89629,請問這邊可以寫成you left the breast嗎 還是be + left+with+something 是一個片語呢?,6.21057899618e-06,0.00293744259447,0.0132663655639,0.000319354225236,0.0268139808725,0.756912227479,0.00306000505863,0.0159909107131,0.000225125084008,0.0124288545561,0.000908059015996,0.000900568500342,0.0465147408282,0.119716154929
40488,89629,"請問名詞+過去分詞也是複合形容詞 請問名詞+現在分詞也是複合形容詞  這是可以亂組合的嗎? 我可以把這句換成life-changed嗎?  如果不行亂組合,那是有什麼依據讓我們要表達複合形容詞時可以自行運用? 亦即 什麼時候用名詞+過去分詞 什麼時候用名詞+現在分詞   感謝",2.81144195034e-05,0.00766842660584,0.0203015306865,0.000843406757883,0.317655538798,0.408426051089,0.00815228973125,0.0355930576223,0.000592250148064,0.0419819982971,0.00403637884339,0.0037807056399,0.00779568108328,0.143144570278
111206,57638,I've seen men made fragile 這句的原始是I've seen men (who is )made fragile 就是男人被搞得很脆弱的意思嗎？ ,7.5609330716e-05,0.0321017732921,0.0385612242697,0.00241759727082,0.0317902715841,0.653241096982,0.0133598253947,0.0456452745066,0.00141078475533,0.0854743760005,0.00535200498412,0.0048148318973,0.0204580000702,0.0652973296616
104488,57638,then twists both ends of the wrapper closed. 這句當中，為什麼不是close而是closed呢？,0.00012670326766,0.0167407598564,0.0970270260627,0.0038470533601,0.247942145968,0.330533264844,0.0159890826849,0.0521892343424,0.00230420663138,0.0606721222483,0.0073417825269,0.00680139906247,0.0221080640275,0.136377155117
39665,88978,請問這句話為何要用being?,6.09440509312e-05,0.00877110217982,0.0374165495994,0.00170712948742,0.102353208436,0.269409290725,0.0271671862018,0.0282694880853,0.00105625160063,0.0517776182824,0.003170308402,0.00261405393317,0.0680168726825,0.398209996334
58822,103903,drum out的意思?,9.60161372894e-05,0.0102713193575,0.0542184559923,0.0026722110009,0.0300976045769,0.649022035119,0.0105335916259,0.0186116286844,0.00180231600623,0.0289421635203,0.00443245969848,0.00483905831395,0.0194190965497,0.165042043417
35968,12945,get sent to you 的用法是?,1.87448765066e-05,0.00864109723922,0.0562999541824,0.00131660703541,0.0330932201119,0.553615891694,0.0166743127749,0.0243848545821,0.000950964281368,0.036108083166,0.0055872743904,0.00232670729807,0.0254728499092,0.235509438459
34233,12945,fresh-squeezed 跟 better-tasting 一個用過去分詞一個用現在分詞 要如何使用是判斷被動不被動嗎?,0.000189932543347,0.0329267117224,0.0795760947812,0.00516173319657,0.316708356807,0.260762810114,0.0249488361261,0.0692106812585,0.00323655998262,0.0496952419522,0.0125896673867,0.00876550899913,0.0431127689925,0.0931150961377
75802,75204,"為什麼要用被動式? I ""was"" convinced...",8.00922169583e-05,0.00979770585542,0.0364678963909,0.00557997876314,0.0290280870131,0.504411582914,0.0146823390859,0.103526179464,0.00138275825894,0.0337141604752,0.00493646036644,0.00531416668505,0.179077839013,0.072000753498
46229,87230,spread不是動詞嗎?為何前面是用is，而不是用does呢?,3.54549972795e-05,0.0059493559024,0.0832239321305,0.00129567462237,0.0481724921286,0.531159368466,0.0131365049408,0.0405297247052,0.000972516509111,0.0589394653974,0.00613438572815,0.00479805308502,0.0182300454611,0.187423025926
120448,91662,dogs are most commonly infected with rabies. 請問這裡infected是被動還是形容詞?,5.05510748615e-05,0.00819731860434,0.0484922242838,0.00175116787769,0.0475147984377,0.533692042326,0.00951608025367,0.0395086306058,0.000930410423235,0.0669760486053,0.00363591824948,0.00460261376374,0.0661518455275,0.168980349967
104812,91662, it will help you get mentally motivated 這裡為何是用被動呢? get不是也可以加形容詞嗎? get motivated 這樣,3.34587964891e-05,0.00676242662604,0.0507338251601,0.00124065643801,0.0591341704956,0.627113105715,0.0145718720483,0.029380362831,0.00120260122422,0.0231011938757,0.00482086766084,0.00363666460267,0.0109406043986,0.167328190128
72532,91662,brainwashed 這句裡 這個字的詞性是?,0.000103192287025,0.0158900255983,0.109859700319,0.00287144400696,0.0793510689287,0.335316858732,0.0104989807527,0.0409076944708,0.00178184813619,0.0411703014286,0.00749128430097,0.00615402235702,0.0150731485506,0.333530430131
63389,91662,Faced with a plate of fried crickets 我感覺不出來這有被動語氣耶,0.0001138531858,0.0150525592354,0.0447395065717,0.00342582996423,0.0453180888138,0.535440357986,0.0133729370801,0.0393113115106,0.0019637541166,0.0500357438408,0.00579777806767,0.0060636264964,0.0652607627215,0.17410389041
51912,91662,為什麼是 you are left? 為什麼是接with呢?,7.49698236876e-06,0.00510780266947,0.0192021366514,0.000349891891317,0.0237185607673,0.767645490596,0.00409189391068,0.0196465514115,0.000196461823107,0.0168376364334,0.000571493169523,0.000843684825857,0.0342283016064,0.107552597262
6492,59745,Be+ing是甚麼文法?,1.0396318382e-05,0.00375919461873,0.0271720287302,0.000858032257053,0.252976769278,0.309588858133,0.0396051261606,0.00940983870851,0.0004488026862,0.0687939345916,0.00187768732332,0.0013020877663,0.0150871717815,0.269110071648
35115,35265, Everything we say can be drummed out.  為何是:我們說的每個東西可以被鼓打出來,1.47473402473e-06,0.000375647791308,0.0039261224434,6.83882139343e-05,0.00155459638273,0.96579805014,0.000594287005399,0.00196868760831,3.76059473052e-05,0.00629763554663,0.000178845337978,0.000245484657227,0.00221492702802,0.0167382471638
